1, ,0.1753064227845136
1,m,0.018359906099939403
1,o,0.05019630408546739
1,d,0.041287510375345636
1,e,0.1587898909761227
1,r,0.04698312956069641
1,n,0.08470101181898268
1,a,0.0653252129810214
1,s,0.029252109441437222
1,v,0.015633036118933286
1,t,0.05733556031958611
1,u,0.015864730953920735
1,j,0.018283523187306177
1,c,0.009339084117955586
1,y,6.110633010657962e-05
1,b,0.010344792467626375
1,g,0.023194944469622517
1,x,7.638291263322453e-06
1,i,0.046654683036373545
1,q,2.546097087774151e-05
1,w,0.01496595868193646
1,h,0.02925720163561277
1,p,0.009835573050071546
1,l,0.033308042102261445
1,k,0.02080670540129036
1,z,0.01865270726503343
1,f,0.006227753476695574
2, m,0.008267198293092167
2,mo,0.0022711243847977247
2,od,0.0007460083461275038
2,de,0.01950315334927194
2,er,0.01956935204210237
2,rn,0.00024187983918809848
2,ne,0.0038522547020167688
2,e ,0.028086068485093835
2, r,0.002706508095336302
2,ro,0.004366567623237778
2,om,0.0034219631986189933
2,ma,0.0040381202626560446
2,an,0.012707602919871575
2,ns,0.002426436702592188
2,s ,0.01196159457374407
2, a,0.006971231575758039
2,av,0.00021896490705448918
2,vo,0.0028083522381523434
2,on,0.004244354651858529
2,nt,0.0028796431381235728
2,tu,0.0008351219710915401
2,uu,0.00042774539982737416
2,ur,0.0015072933136774137
2,rt,0.002001237406335215
2,tj,0.0012246758173628987
2,je,0.005871314833344791
2,es,0.0036969423842223054
2, d,0.020534325295284362
2,do,0.002301677627642537
2,oo,0.011108649877659723
2,or,0.004593170841003471
2,r ,0.01846943529968912
2, c,0.00019095776778007775
2,ca,8.402141782323421e-05
2,ar,0.009764307192487977
2,rr,0.00018586556063927568
2,ry,2.5461035704010367e-06
2,y ,2.5461035704010367e-06
2, v,0.010049470792372893
2,va,0.004819774058769163
2,n ,0.04927219629440086
2, b,0.006184485572504119
2,br,0.0010566329817164302
2,ru,0.0014105413780021744
2,ug,0.00045320643553138455
2,gg,0.0005194051283618115
2,ge,0.01029135063156099
2,en,0.04503547995325354
2,mc,1.2730517852005184e-05
2,cm,2.5461035704010367e-06
2,mx,2.5461035704010367e-06
2,xx,2.5461035704010367e-06
2,xi,2.5461035704010367e-06
2,ii,7.63831071120311e-06
2,i ,0.00037936943198975447
2, e,0.016740630975386816
2,em,0.0024569899454370005
2,m ,0.002355145802620959
2, q,5.0922071408020735e-06
2,qu,2.5461035704010368e-05
2,ue,4.328376069681763e-05
2,ri,0.0026708626453506874
2,id,0.0011712076423844768
2,o ,0.0013290660637493412
2,  ,2.0368828563208294e-05
2,am,0.001382534238727763
2,ms,0.00016804283564646842
2,st,0.007009423129314054
2,te,0.010838762899197213
2,rd,0.002337323077628152
2,da,0.006268506990327352
2,mi,0.0008656752139363525
2,ij,0.01065544344212834
2,jn,0.002650493816787479
2,ad,0.002441713324014594
2, w,0.00950715073187747
2,wi,0.0020292445456096264
2,in,0.008274836603803369
2,rw,0.0003029863248777234
2,wa,0.005316264254997365
2,nh,0.0006339797890298582
2,ho,0.003126615184452473
2,op,0.0032157288094165092
2,p ,0.002558834088253042
2, h,0.017771802921399238
2,og,0.0023322308704873495
2,g ,0.005219512319322125
2, o,0.006963593265046836
2,ov,0.0017797263957103247
2,ve,0.005588697337030275
2,aa,0.015151862347456569
2,hi,0.0023831529418953702
2,jg,0.0002011421820616819
2,gt,0.0011228316745468573
2,t ,0.030611803226931664
